what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1413205683074
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1413205683076
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1413205683078
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1413205683080
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1413205683080
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1413205683082
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1413205683084
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1413205683118
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1413205683119
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1413205683155
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1413205683157
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1413205683158
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1413205683160
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1413205683161
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1413205683176
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1413205683178
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1413205683217
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1413205683219
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1413205683222
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1413205683224
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1413205683260
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1413205683261
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1413205683261
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1413205683263
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1413205683264
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1413205683267
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1413205683269
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1413205683306
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1413205683309
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1413205683311
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1413205683414
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1413205683416
os,sysinfo,,,"win32",1413205683423
arch,sysinfo,,,"x86",1413205683423
ws,sysinfo,,,"win32",1413205683423
locale,sysinfo,,,"pl_PL",1413205683424
processors,sysinfo,,,"4",1413205683424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413205683424
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1413205683424
java.specification.name,sysinfo,,,"Java Platform API Specification",1413205683424
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413205683424
java.specification.version,sysinfo,,,"1.7",1413205683424
java.vendor,sysinfo,,,"Oracle Corporation",1413205683424
java.version,sysinfo,,,"1.7.0_67",1413205683424
java.vm.info,sysinfo,,,"mixed mode, sharing",1413205683424
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413205683424
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413205683424
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413205683424
java.vm.specification.version,sysinfo,,,"1.7",1413205683424
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413205683424
java.vm.version,sysinfo,,,"24.65-b04",1413205683424
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413205685470
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413205685534
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1413205685587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205689831
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413205710792
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1413205710808
error,log,,,"",1413205793602
error,log,,,"",1413205803631
error,log,,,"",1413205807489
error,log,,,"",1413205812650
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1413205821587
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1413205821930
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1413205822033
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1413205822169
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1413205822312
started,bundle,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.ui",1413205822425
started,bundle,de.innot.avreclipse.core,2.4.0.201203041437,"de.innot.avreclipse.core",1413205822427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205828819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205828846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205832569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1413205832576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1413205832576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1413205838406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205858317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413205876029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205915563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205922035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205959121
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1413205959201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205962378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205965136
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413205965214
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1413205965985
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1413205966003
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1413205966003
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1413205966003
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1413205966003
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1413205966003
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1413205966025
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1413205966042
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1413205966062
